Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,xA,xG+xA,npxG+xA
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,0,0.44,0.17,37.5,0.44,0.17,0,0,0,0,0,0.04,0.04,0.09,-0.04,-0.04,0.02,0.06,0.06
80,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,0.05,2.09,0.87,41.9,2.08,0.87,0.02,0.06,0,0,0,0.12,0.12,0.06,-0.07,-0.07,0.29,0.41,0.41
81,Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,1.11,0,0,1.11,0,0,,0,0,0,0.22,0.22,0.17,-0.22,-0.22,0,0.19,0.19
82,Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,0,2.86,0.89,31.3,2.88,0.9,0,0,0,0,0,0.16,0.16,0.06,-0.16,-0.16,0.06,0.22,0.22
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,0.03,0.52,0.19,35.3,0.52,0.18,0,0,0,0.03,0.03,0.06,0.03,0.07,-0.03,-0.03,0.05,0.11,0.09
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,0.06,0.59,0.06,10,0.59,0.06,0.1,1,0,0,0,0.05,0.05,0.09,0.01,0.01,0.01,0.06,0.06
85,Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,0,0.53,0,0,0.54,0,0,,0,0,0,0.05,0.05,0.09,-0.05,-0.05,0,0.05,0.05
86,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,0.06,1.39,0.48,34.8,1.38,0.48,0.04,0.13,0,0,0,0.15,0.15,0.11,-0.09,-0.09,0.18,0.32,0.32
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,0.4,2.05,1.17,57.4,2.05,1.17,0.18,0.31,0,0.03,0.07,0.41,0.36,0.18,-0.01,0.01,0.05,0.47,0.41
88,Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,1.25,1.25,1.25,100,1.23,1.23,1,1,0,0,0,0.13,0.13,0.12,1.13,1.13,0.06,0.2,0.2
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,0.09,0.7,0.13,18.8,0.7,0.13,0.13,0.67,0,0,0,0.04,0.04,0.06,0.04,0.04,0.05,0.09,0.09
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,0.03,1.75,0.24,14,1.75,0.24,0.02,0.14,0.14,0,0,0.07,0.07,0.04,-0.03,-0.03,0.07,0.14,0.14
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,0.35,0,0,0.35,0,0,,0,0,0,0.01,0.01,0.02,-0.01,-0.01,0,0.01,0.01
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,0.11,1.48,0.45,30.8,1.48,0.46,0.08,0.25,0,0,0.11,0.27,0.19,0.13,-0.16,-0.08,0.07,0.34,0.25
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,0,0,0,,0,0,,,0,0,0,0,0,,0,0,0,0,0
95,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,0.04,0.92,0.27,29.2,0.92,0.27,0.04,0.14,0.31,0,0,0.02,0.02,0.03,0.02,0.02,0.09,0.12,0.12
