Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1787,Moussa Niakhate,fr FRA,DF,Mainz 05,de Bundesliga,23,1996,33,55.6,7.61,30.8,26.2,2.91,0.85,53.4,0.09,0.33,27.3,0.12,3,33.5,227.3,135,33.5,1081,97.7,0.3,0.18,Matches
1788,Ibrahima Niane,sn SEN,FW,Metz,fr Ligue 1,20,1999,10.6,44.2,1.13,7.45,20.3,20.3,2.92,42,2.45,5,49.1,2.55,4,31.7,227.4,118.1,51.5,326,59.7,3.4,2.26,Matches
1789,M'Baye Niang,sn SEN,FW,Rennes,fr Ligue 1,24,1994,23.6,35.9,0.97,3.22,20.3,13.7,4.58,34,0.81,2.25,35.8,0.89,2,23,115.7,42.7,45.4,639,59.7,2.97,2.58,Matches
1790,Cheikh Niasse,sn SEN,MF,Lille,fr Ligue 1,19,2000,0.2,45,0,0,40,5,0,45,0,0,,0,0,45,380,80,45,9,100,0,0,Matches
1791,Oumar Niasse,sn SEN,FW,Everton,eng Premier League,29,1990,0.2,90,0,5,45,40,5,90,5,5,100,5,0,50,285,145,85,11,64.7,5,30,Matches
1792,Moritz Nicolas,de GER,GK,Union Berlin,de Bundesliga,21,1997,1,39,34,38,1,0,0,29,0,0,,0,0,20,83,56,19,19,100,0,0,Matches
1793,Florian Niederlechner,de GER,"FW,MF",Augsburg,de Bundesliga,28,1990,30.2,29.4,1.42,3.61,14.2,13.4,5.13,27,1.09,2.38,45.8,1.32,4,18.5,107.9,66.2,40.2,569,46.9,2.25,1.56,Matches
1794,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,es La Liga,24,1994,34.1,63.6,3.11,15.1,38.4,13.6,1.88,60.9,0.7,1.09,64.9,0.73,0,35.7,186,92.6,45.4,1365,88.1,1.17,0.97,Matches
1795,Casimir Ninga,td CHA,"MF,FW",Angers,fr Ligue 1,26,1993,7.6,43.9,0.39,5.39,21.8,23.2,6.32,43.3,1.97,5,39.5,2.37,0,33.4,329.5,219.5,48,247,67.7,2.5,2.76,Matches
1796,Fernando Niño,es ESP,FW,Villarreal,es La Liga,18,2000,0.9,36.7,2.22,2.22,22.2,13.3,4.44,36.7,2.22,2.22,100,2.22,0,28.9,150,31.1,53.3,26,54.2,4.44,0,Matches
1797,Timothée Nkada,fr FRA,"FW,MF",Reims,fr Ligue 1,20,1999,1.6,25.6,0,1.88,10.6,16.3,5,25.6,1.25,3.75,33.3,2.5,1,16.3,158.1,131.3,53.1,30,35.3,2.5,0.63,Matches
1798,Eddie Nketiah,eng ENG,FW,Arsenal,eng Premier League,20,1999,7,33.4,1.14,4.14,18.3,13.3,4.29,31.9,1.43,2.29,62.5,1.57,1,24.9,152,64.9,38,166,62.4,3.71,2.57,Matches
1799,Nicolas Nkoulou,cm CMR,DF,Torino,it Serie A,29,1990,29.9,50.6,8.86,32.5,19.2,0.64,0.47,48.9,0.33,0.37,90.9,0.33,0,30.3,131.9,39.6,27.7,806,97.2,0.2,0.27,Matches
1800,Christopher Nkunku,fr FRA,"MF,FW",RB Leipzig,de Bundesliga,21,1997,21.4,53.5,0.79,5.19,23.4,29.7,4.72,47.4,2.57,4.53,56.7,2.8,0,38.8,268.6,169.1,47.5,768,75.6,2.34,1.73,Matches
1801,Lukas Nmecha,de GER,"MF,FW",Wolfsburg,de Bundesliga,20,1998,1.5,38,0,3.33,20.7,18.7,2.67,36.7,4,6,66.7,4,0,31.3,241.3,142,54,41,50.6,2.67,4,Matches
1802,Mark Noble,eng ENG,MF,West Ham,eng Premier League,32,1987,29.7,58.4,1.25,10.4,37,14.1,1.01,54.7,0.98,1.38,70.7,1.08,0,39.4,191.6,83.9,44.6,1175,88.7,1.04,1.01,Matches
1803,Nolito,es ESP,FW,Sevilla,es La Liga,32,1986,10,43.8,0.4,4.4,17.8,23.8,5.7,42.5,1.2,1.6,75,1.2,0,32.4,170.9,105.7,47.7,334,70,1.7,0.7,Matches
1804,Nolito,es ESP,"FW,MF",Celta Vigo,es La Liga,32,1986,3.6,58.3,1.11,9.72,29.4,22.2,4.72,53.6,0.28,1.67,16.7,0.28,0,38.9,186.4,95.3,49.4,141,79.2,1.11,1.67,Matches
