Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
104,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,1,0,0,2,1,0,0,2,2,0,0,0,7,0,0,,Matches
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
106,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,2,0,0,16,40,4,69,17,20,0,0,0,170,24,37,39.3,Matches
107,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,1,0,0,3,5,0,1,5,4,0,0,0,25,2,5,28.6,Matches
108,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,3,0,0,24,42,2,24,13,19,0,0,0,137,15,13,53.6,Matches
109,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,,Matches
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,2,0,0,26,7,0,32,21,32,0,0,0,190,22,14,61.1,Matches
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,11,1,1,79,63,0,45,41,49,0,0,0,447,63,73,46.3,Matches
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,0,0,2,4,0,4,2,2,0,0,0,9,0,0,,Matches
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,2,0,0,15,44,0,13,23,31,0,0,0,303,13,26,33.3,Matches
114,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,1,0,0,13,23,0,30,5,9,1,0,0,77,6,8,42.9,Matches
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,10,0,0,27,10,0,0,52,27,0,0,0,278,91,36,71.7,Matches
